"Label","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Census Tract 103, Allegheny County, Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,652","6,314","338","6,314","4,088","1,948","28","11","0","0","0","229","38","107","22","0","8","14","40","0","0","0","0","0","21","338","179","8","33","57","","6,652","4,352","2,217","109","279","7","42","","6,652","254","66","42","0","146","6,398","3,925","1,909","28","220","0","0","316","16","300","480","","6,295","3,630","2,665"
"    Margin of Error","","±265","±257","±95","±257","±244","±194","±22","±16","±15","±15","±15","±87","±29","±55","±31","±15","±15","±21","±54","±15","±15","±15","±15","±15","±23","±95","±68","±16","±35","±45","","±265","±260","±211","±61","±111","±15","±38","","±265","±76","±43","±33","±15","±67","±261","±238","±196","±22","±87","±15","±15","±94","±25","±92","±42","","±249","±235","±212"
"    Percent","","6,652","94.9%","5.1%","94.9%","61.5%","29.3%","0.4%","0.2%","0.0%","0.0%","0.0%","3.4%","0.6%","1.6%","0.3%","0.0%","0.1%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","0.3%","5.1%","2.7%","0.1%","0.5%","0.9%","","6,652","65.4%","33.3%","1.6%","4.2%","0.1%","0.6%","","6,652","3.8%","1.0%","0.6%","0.0%","2.2%","96.2%","59.0%","28.7%","0.4%","3.3%","0.0%","0.0%","4.8%","0.2%","4.5%","(X)","","6,295","57.7%","42.3%"
"    Percent Margin of Error","","(X)","±1.4","±1.4","±1.4","±2.8","±2.8","±0.3","±0.2","±0.4","±0.4","±0.4","±1.3","±0.4","±0.8","±0.5","±0.4","±0.2","±0.3","±0.8","±0.4","±0.4","±0.4","±0.4","±0.4","±0.3","±1.4","±1.0","±0.2","±0.5","±0.7","","(X)","±2.9","±3.0","±0.9","±1.6","±0.2","±0.6","","(X)","±1.1","±0.6","±0.5","±0.4","±1.0","±1.1","±2.8","±2.8","±0.3","±1.3","±0.4","±0.4","±1.4","±0.4","±1.4","(X)","","(X)","±2.9","±2.9"
"Census Tract 201, Allegheny County, Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,490","5,342","148","5,342","4,320","472","23","0","7","0","0","527","189","221","0","17","18","12","70","0","0","0","0","0","0","148","15","9","61","0","","5,490","4,468","532","68","597","0","18","","5,490","272","73","47","17","135","5,218","4,084","441","18","527","0","0","148","18","130","3,005","","4,822","2,197","2,625"
"    Margin of Error","","±475","±469","±85","±469","±447","±160","±23","±15","±11","±15","±15","±173","±120","±95","±15","±27","±24","±21","±96","±15","±15","±15","±15","±15","±15","±85","±20","±18","±52","±15","","±475","±451","±170","±54","±182","±15","±34","","±475","±130","±91","±49","±21","±89","±469","±445","±150","±20","±173","±15","±15","±85","±34","±75","±112","","±466","±270","±346"
"    Percent","","5,490","97.3%","2.7%","97.3%","78.7%","8.6%","0.4%","0.0%","0.1%","0.0%","0.0%","9.6%","3.4%","4.0%","0.0%","0.3%","0.3%","0.2%","1.3%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","2.7%","0.3%","0.2%","1.1%","0.0%","","5,490","81.4%","9.7%","1.2%","10.9%","0.0%","0.3%","","5,490","5.0%","1.3%","0.9%","0.3%","2.5%","95.0%","74.4%","8.0%","0.3%","9.6%","0.0%","0.0%","2.7%","0.3%","2.4%","(X)","","4,822","45.6%","54.4%"
"    Percent Margin of Error","","(X)","±1.5","±1.5","±1.5","±3.6","±2.7","±0.4","±0.5","±0.2","±0.5","±0.5","±3.3","±2.2","±1.7","±0.5","±0.5","±0.4","±0.4","±1.8","±0.5","±0.5","±0.5","±0.5","±0.5","±0.5","±1.5","±0.4","±0.3","±0.9","±0.5","","(X)","±3.3","±2.8","±1.0","±3.5","±0.5","±0.6","","(X)","±2.3","±1.6","±0.9","±0.4","±1.6","±2.3","±3.9","±2.6","±0.4","±3.3","±0.5","±0.5","±1.5","±0.6","±1.4","(X)","","(X)","±4.2","±4.2"
